operator,iso3,fuels,collect_status,loader_key,waste_status,region_ids,notes
Tianjin,CHN,mixed,not-collecting,statics,unpublished,china-tianjin,Country/T3 stub — Ember/IRENA is not TSO collection.
Hainan,CHN,solar,not-collecting,statics,unpublished,china-hainan,Country/T3 stub — Ember/IRENA is not TSO collection.
Shanghai,CHN,solar,not-collecting,statics,unpublished,china-shanghai,Country/T3 stub — Ember/IRENA is not TSO collection.
Iceland,ISL,hydro,not-collecting,statics,unpublished,iceland,Country/T3 stub — Ember/IRENA is not TSO collection.
Argentina,ARG,wind,relay-tso,argentina,unpublished,argentina,Relay CSV / geoblocked live path. Waste unpublished unless operator publishes restricciones.
Uruguay,URY,wind,live-tso,,legacy-unspecified,uruguay,Existing live waste or Path-B generation×rate.
Paraguay,PRY,hydro,not-collecting,statics,unpublished,paraguay,Country/T3 stub — Ember/IRENA is not TSO collection.
Colombia,COL,hydro,live-tso,,legacy-unspecified,colombia,Existing live waste or Path-B generation×rate.
Colombia Wind,COL,wind,not-collecting,statics,unpublished,colombia-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Colombia Solar,COL,solar,not-collecting,statics,unpublished,colombia-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Mexico Solar,MEX,solar,relay-tso,mexico,unpublished,mexico-solar,Relay CSV / geoblocked live path. Waste unpublished unless operator publishes restricciones.
Mexico Wind,MEX,wind,relay-tso,mexico,unpublished,mexico-wind,Relay CSV / geoblocked live path. Waste unpublished unless operator publishes restricciones.
Chubu (Japan),JPN,solar,live-tso,,legacy-unspecified,japan-chubu,Existing live waste or Path-B generation×rate.
Chugoku (Japan),JPN,solar,live-tso,,legacy-unspecified,japan-chugoku,Existing live waste or Path-B generation×rate.
Hokkaido Solar (Japan),JPN,solar,live-tso,,legacy-unspecified,japan-hokkaido-solar,Existing live waste or Path-B generation×rate.
Hokkaido Wind (Japan),JPN,wind,live-tso,,legacy-unspecified,japan-hokkaido-wind,Existing live waste or Path-B generation×rate.
Hokuriku (Japan),JPN,solar,live-tso,,legacy-unspecified,japan-hokuriku,Existing live waste or Path-B generation×rate.
Kansai (Japan),JPN,solar,live-tso,,legacy-unspecified,japan-kansai,Existing live waste or Path-B generation×rate.
Kyushu (Japan),JPN,solar,live-tso,,legacy-unspecified,japan-kyushu,Existing live waste or Path-B generation×rate.
Okinawa (Japan),JPN,solar,live-tso,,legacy-unspecified,japan-okinawa,Existing live waste or Path-B generation×rate.
Shikoku (Japan),JPN,solar,live-tso,,legacy-unspecified,japan-shikoku,Existing live waste or Path-B generation×rate.
TEPCO (Japan),JPN,solar,live-tso,,legacy-unspecified,japan-tepco,Existing live waste or Path-B generation×rate.
Tohoku Solar (Japan),JPN,solar,live-tso,,legacy-unspecified,japan-tohoku-solar,Existing live waste or Path-B generation×rate.
Tohoku Wind (Japan),JPN,wind,live-tso,,legacy-unspecified,japan-tohoku-wind,Existing live waste or Path-B generation×rate.
Vietnam,VNM,solar,not-collecting,statics,unpublished,vietnam,Country/T3 stub — Ember/IRENA is not TSO collection.
Thailand,THA,solar,not-collecting,statics,unpublished,thailand,Country/T3 stub — Ember/IRENA is not TSO collection.
Rajasthan,IND,solar,not-collecting,,unpublished,india-rajasthan,Authoritative operator exists; live path not producing usable waste.
Gujarat,IND,solar,not-collecting,,unpublished,india-gujarat,Authoritative operator exists; live path not producing usable waste.
Tamil Nadu,IND,wind,not-collecting,,unpublished,india-tamil-nadu,Authoritative operator exists; live path not producing usable waste.
Karnataka,IND,solar,not-collecting,,unpublished,india-karnataka,Authoritative operator exists; live path not producing usable waste.
Andhra Pradesh,IND,solar,not-collecting,,unpublished,india-andhra-pradesh,Authoritative operator exists; live path not producing usable waste.
Maharashtra,IND,mixed,not-collecting,statics,legacy-unspecified,india-maharashtra,T2 annual waste anchor. Not hourly TSO collection.
India East,IND,solar,not-collecting,statics,unpublished,india-east,Country/T3 stub — Ember/IRENA is not TSO collection.
Madhya Pradesh,IND,solar,not-collecting,,unpublished,india-madhya-pradesh,Authoritative operator exists; live path not producing usable waste.
Telangana,IND,mixed,not-collecting,,unpublished,india-telangana,Authoritative operator exists; live path not producing usable waste.
Uttar Pradesh,IND,solar,not-collecting,,unpublished,india-uttar-pradesh,Authoritative operator exists; live path not producing usable waste.
Punjab,IND,solar,not-collecting,,unpublished,india-punjab,Authoritative operator exists; live path not producing usable waste.
Odisha,IND,wind,not-collecting,,unpublished,india-odisha,Authoritative operator exists; live path not producing usable waste.
Chhattisgarh,IND,solar,not-collecting,,unpublished,india-chhattisgarh,Authoritative operator exists; live path not producing usable waste.
Cyprus,CYP,solar,not-collecting,statics,unpublished,cyprus,Country/T3 stub — Ember/IRENA is not TSO collection.
Ethiopia,ETH,hydro,not-collecting,statics,unpublished,ethiopia,Country/T3 stub — Ember/IRENA is not TSO collection.
Kenya,KEN,hydro,not-collecting,statics,unpublished,kenya,Country/T3 stub — Ember/IRENA is not TSO collection.
Egypt,EGY,solar,not-collecting,statics,unpublished,egypt,Country/T3 stub — Ember/IRENA is not TSO collection.
Morocco,MAR,mixed,not-collecting,statics,unpublished,morocco,Country/T3 stub — Ember/IRENA is not TSO collection.
Namibia,NAM,solar,not-collecting,statics,unpublished,namibia,Country/T3 stub — Ember/IRENA is not TSO collection.
Kazakhstan,KAZ,wind,not-collecting,statics,unpublished,kazakhstan,Country/T3 stub — Ember/IRENA is not TSO collection.
Mongolia,MNG,wind,not-collecting,statics,unpublished,mongolia,Country/T3 stub — Ember/IRENA is not TSO collection.
Albania,ALB,solar,live-tso,entsoe,unpublished,albania,ENTSO-E A75 generation; waste unpublished.
Georgia,GEO,mixed,not-collecting,statics,unpublished,georgia,Country/T3 stub — Ember/IRENA is not TSO collection.
Armenia,ARM,solar,not-collecting,statics,unpublished,armenia,Country/T3 stub — Ember/IRENA is not TSO collection.
Azerbaijan,AZE,mixed,not-collecting,statics,unpublished,azerbaijan,Country/T3 stub — Ember/IRENA is not TSO collection.
Uzbekistan,UZB,solar,not-collecting,statics,unpublished,uzbekistan,Country/T3 stub — Ember/IRENA is not TSO collection.
Afghanistan,AFG,solar,not-collecting,statics,unpublished,afghanistan,Country/T3 stub — Ember/IRENA is not TSO collection.
Bahrain,BHR,solar,not-collecting,statics,unpublished,bahrain,Country/T3 stub — Ember/IRENA is not TSO collection.
Belarus Wind,BLR,wind,not-collecting,statics,unpublished,belarus-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Belarus Solar,BLR,solar,not-collecting,statics,unpublished,belarus-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Brunei,BRN,solar,not-collecting,statics,unpublished,brunei,Country/T3 stub — Ember/IRENA is not TSO collection.
Haiti,HTI,solar,not-collecting,statics,unpublished,haiti,Country/T3 stub — Ember/IRENA is not TSO collection.
Kyrgyzstan,KGZ,hydro,not-collecting,statics,unpublished,kyrgyzstan,Country/T3 stub — Ember/IRENA is not TSO collection.
Lebanon,LBN,solar,not-collecting,statics,unpublished,lebanon,Country/T3 stub — Ember/IRENA is not TSO collection.
Libya,LBY,solar,not-collecting,statics,unpublished,libya,Country/T3 stub — Ember/IRENA is not TSO collection.
Mali,MLI,solar,not-collecting,statics,unpublished,mali,Country/T3 stub — Ember/IRENA is not TSO collection.
Niger,NER,solar,not-collecting,statics,unpublished,niger,Country/T3 stub — Ember/IRENA is not TSO collection.
North Korea,PRK,solar,not-collecting,statics,unpublished,north-korea,Country/T3 stub — Ember/IRENA is not TSO collection.
Singapore,SGP,solar,not-collecting,statics,unpublished,singapore,Country/T3 stub — Ember/IRENA is not TSO collection.
Syria,SYR,solar,not-collecting,statics,unpublished,syria,Country/T3 stub — Ember/IRENA is not TSO collection.
Tajikistan,TJK,hydro,not-collecting,statics,unpublished,tajikistan,Country/T3 stub — Ember/IRENA is not TSO collection.
Turkmenistan,TKM,solar,not-collecting,statics,unpublished,turkmenistan,Country/T3 stub — Ember/IRENA is not TSO collection.
Yemen,YEM,solar,not-collecting,statics,unpublished,yemen,Country/T3 stub — Ember/IRENA is not TSO collection.
Burundi,BDI,mixed,not-collecting,statics,unpublished,burundi,Country/T3 stub — Ember/IRENA is not TSO collection.
Bhutan,BTN,hydro,not-collecting,statics,unpublished,bhutan,Country/T3 stub — Ember/IRENA is not TSO collection.
Central African Republic,CAF,hydro,not-collecting,statics,unpublished,central-african-republic,Country/T3 stub — Ember/IRENA is not TSO collection.
Republic of Congo,COG,hydro,not-collecting,statics,unpublished,congo-republic,Country/T3 stub — Ember/IRENA is not TSO collection.
Comoros,COM,solar,not-collecting,statics,unpublished,comoros,Country/T3 stub — Ember/IRENA is not TSO collection.
Djibouti,DJI,solar,not-collecting,statics,unpublished,djibouti,Country/T3 stub — Ember/IRENA is not TSO collection.
Eritrea,ERI,solar,not-collecting,statics,unpublished,eritrea,Country/T3 stub — Ember/IRENA is not TSO collection.
Fiji,FJI,hydro,not-collecting,statics,unpublished,fiji,Country/T3 stub — Ember/IRENA is not TSO collection.
Gambia,GMB,solar,not-collecting,statics,unpublished,gambia,Country/T3 stub — Ember/IRENA is not TSO collection.
Guinea,GIN,hydro,not-collecting,statics,unpublished,guinea,Country/T3 stub — Ember/IRENA is not TSO collection.
Guinea-Bissau,GNB,solar,not-collecting,statics,unpublished,guinea-bissau,Country/T3 stub — Ember/IRENA is not TSO collection.
Equatorial Guinea,GNQ,mixed,not-collecting,statics,unpublished,equatorial-guinea,Country/T3 stub — Ember/IRENA is not TSO collection.
Lesotho,LSO,hydro,not-collecting,statics,unpublished,lesotho,Country/T3 stub — Ember/IRENA is not TSO collection.
Liberia,LBR,hydro,not-collecting,statics,unpublished,liberia,Country/T3 stub — Ember/IRENA is not TSO collection.
Maldives,MDV,solar,not-collecting,statics,unpublished,maldives,Country/T3 stub — Ember/IRENA is not TSO collection.
Papua New Guinea,PNG,hydro,not-collecting,statics,unpublished,papua-new-guinea,Country/T3 stub — Ember/IRENA is not TSO collection.
Solomon Islands,SLB,solar,not-collecting,statics,unpublished,solomon-islands,Country/T3 stub — Ember/IRENA is not TSO collection.
Sierra Leone,SLE,hydro,not-collecting,statics,unpublished,sierra-leone,Country/T3 stub — Ember/IRENA is not TSO collection.
Somalia,SOM,solar,not-collecting,statics,unpublished,somalia,Country/T3 stub — Ember/IRENA is not TSO collection.
South Sudan,SSD,solar,not-collecting,statics,unpublished,south-sudan,Country/T3 stub — Ember/IRENA is not TSO collection.
São Tomé & Príncipe,STP,solar,not-collecting,statics,unpublished,sao-tome,Country/T3 stub — Ember/IRENA is not TSO collection.
Seychelles,SYC,solar,not-collecting,statics,unpublished,seychelles,Country/T3 stub — Ember/IRENA is not TSO collection.
Chad,TCD,solar,not-collecting,statics,unpublished,chad,Country/T3 stub — Ember/IRENA is not TSO collection.
Timor-Leste,TLS,solar,not-collecting,statics,unpublished,east-timor,Country/T3 stub — Ember/IRENA is not TSO collection.
Vanuatu,VUT,solar,not-collecting,statics,unpublished,vanuatu,Country/T3 stub — Ember/IRENA is not TSO collection.
Samoa,WSM,solar,not-collecting,statics,unpublished,samoa,Country/T3 stub — Ember/IRENA is not TSO collection.
Andorra,AND,hydro,not-collecting,statics,unpublished,andorra,Country/T3 stub — Ember/IRENA is not TSO collection.
Liechtenstein,LIE,hydro,not-collecting,statics,unpublished,liechtenstein,Country/T3 stub — Ember/IRENA is not TSO collection.
Monaco,MCO,solar,not-collecting,statics,unpublished,monaco,Country/T3 stub — Ember/IRENA is not TSO collection.
San Marino,SMR,solar,not-collecting,statics,unpublished,san-marino,Country/T3 stub — Ember/IRENA is not TSO collection.
Antigua & Barbuda,ATG,solar,not-collecting,statics,unpublished,antigua-and-barbuda,Country/T3 stub — Ember/IRENA is not TSO collection.
Bahamas,BHS,solar,not-collecting,statics,unpublished,bahamas,Country/T3 stub — Ember/IRENA is not TSO collection.
Belize,BLZ,hydro,not-collecting,statics,unpublished,belize,Country/T3 stub — Ember/IRENA is not TSO collection.
Dominica,DMA,solar,not-collecting,statics,unpublished,dominica,Country/T3 stub — Ember/IRENA is not TSO collection.
Grenada,GRD,solar,not-collecting,statics,unpublished,grenada,Country/T3 stub — Ember/IRENA is not TSO collection.
St Kitts & Nevis,KNA,solar,not-collecting,statics,unpublished,st-kitts-and-nevis,Country/T3 stub — Ember/IRENA is not TSO collection.
St Lucia,LCA,solar,not-collecting,statics,unpublished,st-lucia,Country/T3 stub — Ember/IRENA is not TSO collection.
St Vincent,VCT,solar,not-collecting,statics,unpublished,st-vincent,Country/T3 stub — Ember/IRENA is not TSO collection.
Kiribati,KIR,solar,not-collecting,statics,unpublished,kiribati,Country/T3 stub — Ember/IRENA is not TSO collection.
Marshall Islands,MHL,solar,not-collecting,statics,unpublished,marshall-islands,Country/T3 stub — Ember/IRENA is not TSO collection.
Micronesia,FSM,solar,not-collecting,statics,unpublished,micronesia,Country/T3 stub — Ember/IRENA is not TSO collection.
Nauru,NRU,solar,not-collecting,statics,unpublished,nauru,Country/T3 stub — Ember/IRENA is not TSO collection.
Palau,PLW,solar,not-collecting,statics,unpublished,palau,Country/T3 stub — Ember/IRENA is not TSO collection.
Tonga,TON,solar,not-collecting,statics,unpublished,tonga,Country/T3 stub — Ember/IRENA is not TSO collection.
Tuvalu,TUV,solar,not-collecting,statics,unpublished,tuvalu,Country/T3 stub — Ember/IRENA is not TSO collection.
Sri Lanka,LKA,mixed,not-collecting,statics,unpublished,sri-lanka,Country/T3 stub — Ember/IRENA is not TSO collection.
Sudan,SDN,solar,not-collecting,statics,unpublished,sudan,Country/T3 stub — Ember/IRENA is not TSO collection.
Venezuela,VEN,wind,not-collecting,statics,unpublished,venezuela,Country/T3 stub — Ember/IRENA is not TSO collection.
Laos,LAO,solar,not-collecting,statics,unpublished,laos,Country/T3 stub — Ember/IRENA is not TSO collection.
Cambodia,KHM,solar,not-collecting,statics,unpublished,cambodia,Country/T3 stub — Ember/IRENA is not TSO collection.
Myanmar,MMR,solar,not-collecting,statics,unpublished,myanmar,Country/T3 stub — Ember/IRENA is not TSO collection.
Honduras,HND,solar,not-collecting,statics,unpublished,honduras,Country/T3 stub — Ember/IRENA is not TSO collection.
Jeju (S. Korea),KOR,wind,not-collecting,statics,unpublished,jeju,Country/T3 stub — Ember/IRENA is not TSO collection.
Western Australia Solar (SWIS),AUS,solar,live-tso,,legacy-unspecified,wa-swis-solar,Existing live waste or Path-B generation×rate.
Western Australia Wind (SWIS),AUS,wind,live-tso,,legacy-unspecified,wa-swis-wind,Existing live waste or Path-B generation×rate.
NT & Pilbara,AUS,solar,not-collecting,statics,unpublished,nt-pilbara,Country/T3 stub — Ember/IRENA is not TSO collection.
Indonesia,IDN,solar,not-collecting,statics,unpublished,indonesia,Country/T3 stub — Ember/IRENA is not TSO collection.
Malaysia,MYS,solar,not-collecting,statics,unpublished,malaysia,Country/T3 stub — Ember/IRENA is not TSO collection.
Philippines Solar,PHL,solar,live-tso,philippines,unpublished,philippines-solar,TSO generation collected; waste unpublished.
Philippines Wind,PHL,wind,live-tso,philippines,unpublished,philippines-wind,TSO generation collected; waste unpublished.
South Korea Solar,KOR,solar,not-collecting,statics,unpublished,south-korea-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
South Korea Wind,KOR,wind,not-collecting,statics,unpublished,south-korea-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Russia (European grid),RUS,hydro,not-collecting,statics,unpublished,russia-mainland,Country/T3 stub — Ember/IRENA is not TSO collection.
Taiwan,TWN,mixed,not-collecting,,unpublished,taiwan,Authoritative operator exists; live path not producing usable waste.
Palestine,PSE,solar,not-collecting,statics,unpublished,palestine,Country/T3 stub — Ember/IRENA is not TSO collection.
Jordan,JOR,solar,not-collecting,statics,unpublished,jordan,Country/T3 stub — Ember/IRENA is not TSO collection.
Saudi Arabia (solar),SAU,solar,not-collecting,statics,unpublished,saudi-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
UAE,ARE,solar,not-collecting,statics,unpublished,uae,Country/T3 stub — Ember/IRENA is not TSO collection.
Oman,OMN,solar,not-collecting,statics,unpublished,oman,Country/T3 stub — Ember/IRENA is not TSO collection.
Israel,ISR,solar,not-collecting,statics,unpublished,israel,Country/T3 stub — Ember/IRENA is not TSO collection.
Pakistan Wind,PAK,wind,not-collecting,statics,unpublished,pakistan-wind,Country/T3 stub — Ember/IRENA is not TSO collection.
Pakistan Solar,PAK,solar,not-collecting,statics,unpublished,pakistan-solar,Country/T3 stub — Ember/IRENA is not TSO collection.
Nepal,NPL,hydro,not-collecting,statics,unpublished,nepal,Country/T3 stub — Ember/IRENA is not TSO collection.
Iran,IRN,solar,not-collecting,statics,unpublished,iran,Country/T3 stub — Ember/IRENA is not TSO collection.
Iraq,IRQ,solar,not-collecting,statics,unpublished,iraq-mainland,Country/T3 stub — Ember/IRENA is not TSO collection.
Kurdistan (KRG),IRQ,solar,not-collecting,statics,unpublished,kurdistan,Country/T3 stub — Ember/IRENA is not TSO collection.
Bangladesh,BGD,solar,live-tso,bangladesh,unpublished,bangladesh,TSO generation collected; waste unpublished.
Minas Gerais Wind,BRA,wind,live-tso,,legacy-unspecified,brazil-mg-wind,Existing live waste or Path-B generation×rate.
Minas Gerais Solar,BRA,solar,live-tso,,legacy-unspecified,brazil-mg-solar,Existing live waste or Path-B generation×rate.
Sao Paulo Wind,BRA,wind,live-tso,,legacy-unspecified,brazil-sp-wind,Existing live waste or Path-B generation×rate.
Sao Paulo Solar,BRA,solar,live-tso,,legacy-unspecified,brazil-sp-solar,Existing live waste or Path-B generation×rate.
Mato Grosso Wind,BRA,wind,live-tso,,legacy-unspecified,brazil-mt-wind,Existing live waste or Path-B generation×rate.
Mato Grosso Solar,BRA,solar,live-tso,,legacy-unspecified,brazil-mt-solar,Existing live waste or Path-B generation×rate.
Goias Wind,BRA,wind,live-tso,,legacy-unspecified,brazil-go-wind,Existing live waste or Path-B generation×rate.
Goias Solar,BRA,solar,live-tso,,legacy-unspecified,brazil-go-solar,Existing live waste or Path-B generation×rate.
Parana Wind,BRA,wind,live-tso,,legacy-unspecified,brazil-pr-wind,Existing live waste or Path-B generation×rate.
Parana Solar,BRA,solar,live-tso,,legacy-unspecified,brazil-pr-solar,Existing live waste or Path-B generation×rate.
Rio Grande do Sul Wind,BRA,wind,live-tso,,legacy-unspecified,brazil-rs-wind,Existing live waste or Path-B generation×rate.
Rio Grande do Sul Solar,BRA,solar,live-tso,,legacy-unspecified,brazil-rs-solar,Existing live waste or Path-B generation×rate.
British Columbia,CAN,hydro,not-collecting,statics,unpublished,british-columbia,Country/T3 stub — Ember/IRENA is not TSO collection.
Quebec,CAN,hydro,not-collecting,statics,unpublished,quebec,Country/T3 stub — Ember/IRENA is not TSO collection.
Manitoba,CAN,mixed,not-collecting,statics,unpublished,manitoba,Country/T3 stub — Ember/IRENA is not TSO collection.
Saskatchewan,CAN,wind,not-collecting,statics,unpublished,saskatchewan,Country/T3 stub — Ember/IRENA is not TSO collection.
Hawaii (Oahu),USA,solar,not-collecting,,unpublished,hawaii-oahu,Authoritative operator exists; live path not producing usable waste.
Hawaii (Maui),USA,solar,not-collecting,,unpublished,hawaii-maui,Authoritative operator exists; live path not producing usable waste.
Hawaii (Big Island),USA,mixed,not-collecting,,unpublished,hawaii-island,Authoritative operator exists; live path not producing usable waste.
Florida Power & Light Wind,USA,wind,live-tso,eia-vre-bas,unpublished,fpl-wind,EIA-930 generation; BA publishes no curtailment rate.
Florida Power & Light Solar,USA,solar,live-tso,eia-vre-bas,unpublished,fpl-solar,EIA-930 generation; BA publishes no curtailment rate.
Duke Energy Florida Wind,USA,wind,live-tso,eia-vre-bas,unpublished,fpc-wind,EIA-930 generation; BA publishes no curtailment rate.
Duke Energy Florida Solar,USA,solar,live-tso,eia-vre-bas,unpublished,fpc-solar,EIA-930 generation; BA publishes no curtailment rate.
Tampa Electric Wind,USA,wind,live-tso,eia-vre-bas,unpublished,tec-wind,EIA-930 generation; BA publishes no curtailment rate.
Tampa Electric Solar,USA,solar,live-tso,eia-vre-bas,unpublished,tec-solar,EIA-930 generation; BA publishes no curtailment rate.
Austria Wind,AUT,wind,live-tso,entsoe,unpublished,austria-wind,ENTSO-E A75 generation; waste unpublished.
Austria Solar,AUT,solar,live-tso,entsoe,unpublished,austria-solar,ENTSO-E A75 generation; waste unpublished.
Russia (Murmansk),RUS,wind,not-collecting,statics,legacy-unspecified,russia-murmansk-wind,T2 annual waste anchor. Not hourly TSO collection.
TVA Wind,USA,wind,live-tso,eia-vre-bas,unpublished,tva-wind,EIA-930 generation; BA publishes no curtailment rate.
TVA Solar,USA,solar,live-tso,eia-vre-bas,unpublished,tva-solar,EIA-930 generation; BA publishes no curtailment rate.
Guatemala,GTM,solar,not-collecting,statics,unpublished,guatemala,Country/T3 stub — Ember/IRENA is not TSO collection.
El Salvador,SLV,solar,not-collecting,statics,unpublished,el-salvador,Country/T3 stub — Ember/IRENA is not TSO collection.
Nicaragua,NIC,solar,not-collecting,statics,unpublished,nicaragua,Country/T3 stub — Ember/IRENA is not TSO collection.
Costa Rica,CRI,hydro,not-collecting,statics,unpublished,costa-rica,Country/T3 stub — Ember/IRENA is not TSO collection.
Panama,PAN,solar,not-collecting,statics,unpublished,panama,Country/T3 stub — Ember/IRENA is not TSO collection.
Central America (SIEPAC),GTM,solar,not-collecting,statics,unpublished,guatemala-siepac,Country/T3 stub — Ember/IRENA is not TSO collection.
Cuba,CUB,mixed,not-collecting,statics,unpublished,cuba,Country/T3 stub — Ember/IRENA is not TSO collection.
Dominican Republic,DOM,mixed,live-tso,dominican,unpublished,dominican-republic,TSO generation collected; waste unpublished.
Dominican Republic Wind,DOM,wind,live-tso,dominican,unpublished,dominican-republic-wind,TSO generation collected; waste unpublished.
Jamaica,JAM,solar,not-collecting,statics,unpublished,jamaica,Country/T3 stub — Ember/IRENA is not TSO collection.
Barbados,BRB,solar,not-collecting,statics,unpublished,barbados,Country/T3 stub — Ember/IRENA is not TSO collection.
Bolivia,BOL,solar,not-collecting,statics,unpublished,bolivia,Country/T3 stub — Ember/IRENA is not TSO collection.
Ecuador,ECU,hydro,not-collecting,statics,unpublished,ecuador,Country/T3 stub — Ember/IRENA is not TSO collection.
French Guiana,GUF,solar,not-collecting,statics,unpublished,french-guiana,Country/T3 stub — Ember/IRENA is not TSO collection.
Algeria,DZA,solar,not-collecting,statics,unpublished,algeria,Country/T3 stub — Ember/IRENA is not TSO collection.
Angola,AGO,solar,not-collecting,statics,unpublished,angola,Country/T3 stub — Ember/IRENA is not TSO collection.
Benin,BEN,solar,not-collecting,statics,unpublished,benin,Country/T3 stub — Ember/IRENA is not TSO collection.
Botswana,BWA,solar,not-collecting,statics,unpublished,botswana,Country/T3 stub — Ember/IRENA is not TSO collection.
Burkina Faso,BFA,solar,not-collecting,statics,unpublished,burkina-faso,Country/T3 stub — Ember/IRENA is not TSO collection.
Cabo Verde,CPV,solar,not-collecting,statics,unpublished,cabo-verde,Country/T3 stub — Ember/IRENA is not TSO collection.
Cameroon,CMR,hydro,not-collecting,statics,unpublished,cameroon,Country/T3 stub — Ember/IRENA is not TSO collection.
DR Congo,COD,hydro,not-collecting,statics,unpublished,congo-drc,Country/T3 stub — Ember/IRENA is not TSO collection.
Cote d'Ivoire,CIV,solar,not-collecting,statics,unpublished,cote-divoire,Country/T3 stub — Ember/IRENA is not TSO collection.
Eswatini,SWZ,solar,not-collecting,statics,unpublished,eswatini,Country/T3 stub — Ember/IRENA is not TSO collection.
Gabon,GAB,hydro,not-collecting,statics,unpublished,gabon,Country/T3 stub — Ember/IRENA is not TSO collection.
Ghana,GHA,solar,not-collecting,statics,unpublished,ghana,Country/T3 stub — Ember/IRENA is not TSO collection.
Madagascar,MDG,hydro,not-collecting,statics,unpublished,madagascar,Country/T3 stub — Ember/IRENA is not TSO collection.
Malawi,MWI,hydro,not-collecting,statics,unpublished,malawi,Country/T3 stub — Ember/IRENA is not TSO collection.
Mauritania,MRT,wind,not-collecting,statics,unpublished,mauritania,Country/T3 stub — Ember/IRENA is not TSO collection.
Mauritius,MUS,solar,not-collecting,statics,unpublished,mauritius,Country/T3 stub — Ember/IRENA is not TSO collection.
Mozambique,MOZ,hydro,not-collecting,statics,unpublished,mozambique,Country/T3 stub — Ember/IRENA is not TSO collection.
Nigeria,NGA,solar,not-collecting,statics,unpublished,nigeria,Country/T3 stub — Ember/IRENA is not TSO collection.
Rwanda,RWA,mixed,not-collecting,statics,unpublished,rwanda,Country/T3 stub — Ember/IRENA is not TSO collection.
Senegal,SEN,solar,not-collecting,statics,unpublished,senegal,Country/T3 stub — Ember/IRENA is not TSO collection.
Tanzania,TZA,hydro,not-collecting,statics,unpublished,tanzania,Country/T3 stub — Ember/IRENA is not TSO collection.
Togo,TGO,solar,not-collecting,statics,unpublished,togo,Country/T3 stub — Ember/IRENA is not TSO collection.
Tunisia,TUN,solar,not-collecting,statics,unpublished,tunisia,Country/T3 stub — Ember/IRENA is not TSO collection.
Uganda,UGA,hydro,not-collecting,statics,unpublished,uganda,Country/T3 stub — Ember/IRENA is not TSO collection.
Zambia,ZMB,hydro,not-collecting,statics,unpublished,zambia,Country/T3 stub — Ember/IRENA is not TSO collection.
Zimbabwe,ZWE,hydro,not-collecting,statics,unpublished,zimbabwe,Country/T3 stub — Ember/IRENA is not TSO collection.
Western Downs Solar,AUS,solar,live-tso,,legacy-unspecified,aemo-wdgph1-solar,Existing live waste or Path-B generation×rate.
Stockyard Hill Wind,AUS,wind,live-tso,,legacy-unspecified,aemo-stockyd1-wind,Existing live waste or Path-B generation×rate.
Coopers Gap Wind,AUS,wind,live-tso,,legacy-unspecified,aemo-coopgwf1-wind,Existing live waste or Path-B generation×rate.
Macarthur Wind,AUS,wind,live-tso,,legacy-unspecified,aemo-macarth1-wind,Existing live waste or Path-B generation×rate.
Rye Park Wind,AUS,wind,live-tso,,legacy-unspecified,aemo-ryepark1-wind,Existing live waste or Path-B generation×rate.
Darlington Point Solar,AUS,solar,live-tso,,legacy-unspecified,aemo-darlsf1-solar,Existing live waste or Path-B generation×rate.
Limondale Solar,AUS,solar,live-tso,,legacy-unspecified,aemo-limosf11-solar,Existing live waste or Path-B generation×rate.
Sapphire Wind,AUS,wind,live-tso,,legacy-unspecified,aemo-saphwf1-wind,Existing live waste or Path-B generation×rate.
Avonlie Solar,AUS,solar,live-tso,,legacy-unspecified,aemo-avlsf1-solar,Existing live waste or Path-B generation×rate.
Bango Wind,AUS,wind,live-tso,,legacy-unspecified,aemo-bangowf1-wind,Existing live waste or Path-B generation×rate.
Sunny Solar,PER,solar,not-collecting,statics,unpublished,solar-sunny,Country/T3 stub — Ember/IRENA is not TSO collection.
San Martín Solar,PER,solar,not-collecting,statics,unpublished,solar-san-martin,Country/T3 stub — Ember/IRENA is not TSO collection.
Rubí Solar,PER,solar,not-collecting,statics,unpublished,solar-rubi,Country/T3 stub — Ember/IRENA is not TSO collection.
Clemesí Solar,PER,solar,not-collecting,statics,unpublished,solar-clemesi,Country/T3 stub — Ember/IRENA is not TSO collection.
Intipampa Solar,PER,solar,not-collecting,statics,unpublished,solar-intipampa,Country/T3 stub — Ember/IRENA is not TSO collection.
Matarani Solar,PER,solar,not-collecting,statics,unpublished,solar-matarani,Country/T3 stub — Ember/IRENA is not TSO collection.
Majes Solar,PER,solar,not-collecting,statics,unpublished,solar-majes,Country/T3 stub — Ember/IRENA is not TSO collection.
Punta Lomitas Wind,PER,wind,not-collecting,statics,unpublished,wind-punta-lomitas,Country/T3 stub — Ember/IRENA is not TSO collection.
Wayra Wind,PER,wind,not-collecting,statics,unpublished,wind-wayra,Country/T3 stub — Ember/IRENA is not TSO collection.
San Juan Wind,PER,wind,not-collecting,statics,unpublished,wind-san-juan,Country/T3 stub — Ember/IRENA is not TSO collection.
