country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes
Malawi,,Electricity Supply Corporation of Malawi (ESCOM) / EGENCO,https://www.escom.mw/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Malawi 2024,0.05,introduce-as-T3,T3,not-applicable,0.0350,Shire hydro cascade + Salima PV 60MW; SAPP member; no dispatch portal.
Mauritius,,Central Electricity Board (CEB),https://ceb.mu/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Mauritius 2024,0.05,introduce-as-T3,T3,not-applicable,0.0350,Bagasse+coal+oil with growing PV; island grid; integrated reports only.
Rwanda,,Rwanda Energy Group (REG) / Energy Utility Corporation Limited (EUCL),https://www.reg.rw/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Rwanda 2024,0.05,introduce-as-T3,T3,not-applicable,0.0350,REG holding; EUCL operates; methane-from-Lake-Kivu + hydro+solar; no dispatch portal.
SUR / Suriname,,EBS (NV Energiebedrijven Suriname),https://www.nvebs.com/,,not-modelled,flare-associated-gas,documented-gap,parseable-HTML-table,unprobed,GGFR 2024 (offshore Suriname Block 58 flaring forecast),0.05,introduce-as-T3,T3,not-applicable,0.0350,"Power utility small. Flare phenomenon is offshore upstream (Block 58) - off-grid, track separately under GGFR if material."
Singapore,,Energy Market Authority (EMA),https://www.ema.gov.sg/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,statistics portal lists 7 electricity domains (capacity/demand/gen/etc); formats not exposed on landing page,Singapore Energy Statistics 2024 (EMA),0.05,blocked-document-only,not-applicable,not-applicable,0.0350,EMA regulator+system operator (PSO). Tiny grid (~55TWh/yr) gas-dominated. Solar ~1GW; minimal curtailment. EMC market operator.
Somalia,,BECO (Mogadishu) and regional providers,https://beco.so/,,not-modelled,curtailment-renewable,unknown,parseable-HTML-table,homepage-200,IRENA Somalia 2024,0.05,blocked-document-only,not-applicable,not-applicable,0.0350,Fragmented private mini-grids; BECO largest in Mogadishu; no nationwide TSO; no dispatch data.
Togo,,Compagnie Energie Electrique du Togo (CEET),https://ceet.tg/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Togo 2024,0.05,introduce-as-T3,T3,not-applicable,0.0350,Imports from CEB-Benin/Nigeria via WAPP; Blitta PV 50MW; no dispatch portal.
Australia,Queensland,AEMO NEM (QLD),https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,aemo-qld,T1a,curtailment-renewable,published,CSV-download,already-modelled,AEMO 2024 NEMWeb QLD wind+solar curtailment 2024,0.8,leave-existing-T1+,not-applicable,not-applicable,0.0320,Existing T1a region; PV congestion in North QLD.
CHN,Jiangxi,State Grid Jiangxi Electric Power,http://www.jx.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,0.3,introduce-as-T3,T3,not-applicable,0.0300,Central CN; small RE share; SGCC C Branch
CHN,Fujian,State Grid Fujian Electric Power,http://www.fj.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,0.3,introduce-as-T3,T3,not-applicable,0.0300,Coastal; offshore wind growing; SGCC E Branch; no hourly public
Australia,New South Wales,AEMO NEM (NSW),https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,aemo-nsw,T1a,curtailment-renewable,published,CSV-download,already-modelled,AEMO 2024 NEMWeb NSW wind+solar curtailment 2024,0.5,leave-existing-T1+,not-applicable,not-applicable,0.0200,Existing T1a region; NEMWeb Next-Day Dispatch CSVs.
CHN,Hainan,Hainan Power Grid (China Southern Grid),http://www.hi.csg.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,0.2,introduce-as-T3,T3,not-applicable,0.0200,Island system; CSG; small RE base
CHN,Chongqing,State Grid Chongqing Electric Power,http://www.cq.sgcc.com.cn/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,probe-not-attempted-known-walled,NEA 2024 provincial RE curtailment bulletin,0.2,introduce-as-T3,T3,not-applicable,0.0200,Municipal load + small hydro; SGCC C Branch; minimal curtailment
Cabo Verde,,Empresa Publica de Electricidade e Agua (ELECTRA),https://www.electra.cv/,,not-modelled,curtailment-renewable,documented-gap,JS-rendered-SPA,homepage-200,IRENA Cabo Verde 2024,0.05,introduce-as-T3,T3,not-applicable,0.0200,Island system 9 separate grids; high VRE share but no published curtailment metric.
Australia,South Australia,AEMO NEM (SA),https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,aemo-sa,T1a,curtailment-renewable,published,CSV-download,already-modelled,AEMO 2024 NEMWeb SA wind+solar curtailment 2024,0.4,leave-existing-T1+,not-applicable,not-applicable,0.0160,Existing T1a region; system-strength limited.
Australia,Western Australia,AEMO WEM (SWIS),https://data.wa.aemo.com.au/,wa-swis,T1a,curtailment-renewable,published,CSV-download,already-modelled,AEMO 2024 WA SWIS Facility SCADA curtailment 2024,0.4,leave-existing-T1+,not-applicable,not-applicable,0.0160,Existing T1a region; WEM Facility SCADA via data.wa.aemo.com.au.
Gambia,,National Water and Electricity Company (NAWEC),https://nawec.gm/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Gambia 2024,0.02,introduce-as-T3,T3,not-applicable,0.0140,Diesel-dominant; Jambur PV 23MW commissioning; OMVG interconnection in progress; no dispatch data.
Lesotho,,Lesotho Electricity Company (LEC),https://lec.co.ls/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Lesotho 2024,0.02,introduce-as-T3,T3,not-applicable,0.0140,Muela hydro 72MW + imports from Eskom (SAPP); no dispatch portal.
Liberia,,Liberia Electricity Corporation (LEC),https://www.lec.com.lr/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Liberia 2024,0.02,introduce-as-T3,T3,not-applicable,0.0140,Mt Coffee hydro 88MW + HFO; CLSG cross-border line; no dispatch portal.
Sierra Leone,,Electricity Distribution and Supply Authority (EDSA) / EGTC,https://edsa.sl/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Sierra Leone 2024,0.02,introduce-as-T3,T3,not-applicable,0.0140,EGTC=transmission EDSA=distribution; CLSG cross-border line; Bumbuna hydro; no dispatch data.
USA,New York (D+E),NYISO,https://www.nyiso.com/,nyiso-zones-d-e,T1a,curtailment-renewable,published,JSON-API,known-public-API,NYISO Power Trends 2024,0.122,leave-existing-T1+,not-applicable,Pattern-A,0.0122,~75% of statewide wind curtailment is in zones D+E.
Australia,Victoria,AEMO NEM (VIC),https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,aemo-vic,T1a,curtailment-renewable,published,CSV-download,already-modelled,AEMO 2024 NEMWeb VIC wind+solar curtailment 2024,0.3,leave-existing-T1+,not-applicable,not-applicable,0.0120,Existing T1a region; NEMWeb Next-Day Dispatch CSVs.
Burundi,,Regie de Production et de Distribution d'Eau et d'Electricite (REGIDESO),https://www.regideso.bi/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Burundi 2024,0.01,introduce-as-T3,T3,not-applicable,0.0070,Predominantly hydro; very low installed capacity; no dispatch data published.
Seychelles,,Public Utilities Corporation (PUC),https://www.puc.sc/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Seychelles 2024,0.01,introduce-as-T3,T3,not-applicable,0.0070,Mahe island grid + outer islands; growing PV; integrated annual report only.
GUF / French Guiana,,EDF SEI (Systemes Energetiques Insulaires),https://www.edf.fr/edf-sei/,,not-modelled,none-expected,documented-gap,PDF-only,unprobed,EDF SEI Bilan Previsionnel Guyane 2024,0.05,introduce-as-T3,T3,not-applicable,0.0050,French overseas department; EDF SEI publishes annual Bilan Previsionnel as PDF. Small grid. Note: ENTSO-E does NOT cover French overseas; EDF SEI alone.
Malaysia,Sarawak,Sarawak Energy Berhad,https://www.sarawakenergy.com/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,site behind 403 on probe; annual+sustainability reports as PDF; hydro dominated,Sarawak Energy Annual Report 2024,0.05,blocked-document-only,not-applicable,not-applicable,0.0050,Sarawak Energy = vertically integrated; 70%+ hydro (Bakun 2400MW Murum 944MW). Spring spill exists not published. Cross-ref 'malaysia'.
Uzbekistan,,National Electric Networks of Uzbekistan (NEGU),https://uzenergo.uz/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,no real-time data; ministry annual reports,IRENA Renewable Capacity Statistics 2024 Uzbekistan,0.05,blocked-document-only,not-applicable,not-applicable,0.0050,NEGU site Russian/Uzbek; no English open-data portal. Solar/wind ~2GW by 2024 but curtailment data not published.
USA,New York (rest),NYISO,https://www.nyiso.com/,nyiso-rest,T1a,curtailment-renewable,published,JSON-API,known-public-API,NYISO Power Trends 2024,0.041,leave-existing-T1+,not-applicable,Pattern-A,0.0041,Complement to nyiso-zones-d-e (25% share).
Australia,Tasmania,AEMO NEM (TAS),https://nemweb.com.au/Reports/Current/Next_Day_Dispatch/,aemo-tas,T1a,curtailment-renewable,published,CSV-download,already-modelled,AEMO 2024 NEMWeb TAS wind curtailment 2024,0.1,leave-existing-T1+,not-applicable,not-applicable,0.0040,Existing T1a region; small wind curtailment.
USA,New England (ME/VT),ISO-NE,https://www.iso-ne.com/,iso-ne-maine-vermont,T1a,curtailment-renewable,published,JSON-API,known-public-API,ISO-NE IMM 2024 Annual Markets Report,0.032,leave-existing-T1+,not-applicable,Pattern-A,0.0032,93% of NE renewable curtailment is in ME/VT congestion pocket.
New Zealand,National,Transpower NZ / EMI,https://www.emi.ea.govt.nz/Wholesale/Datasets/Generation/Generation_MD,new-zealand,T1a,curtailment-renewable,published,CSV-download,already-modelled,Transpower 2024 RES curtailment low,0.05,leave-existing-T1+,not-applicable,not-applicable,0.0020,Existing T1a region; EMI CSV downloads for generation MD.
Qatar,,Qatar General Electricity & Water Corporation (Kahramaa),https://www.km.qa/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,annual statistics reports as PDF; no real-time feed,IRENA Renewable Capacity Statistics 2024 Qatar,0.01,blocked-document-only,not-applicable,not-applicable,0.0010,Kahramaa publishes annual statistics PDFs. Solar 800 MW Al Kharsaah online 2022; <2% RE share. Curtailment immaterial.
USA,New England (rest),ISO-NE,https://www.iso-ne.com/,iso-ne-rest,T1a,curtailment-renewable,published,JSON-API,known-public-API,ISO-NE IMM 2024 Annual Markets Report,0.002,leave-existing-T1+,not-applicable,Pattern-A,0.0002,7% complement of iso-ne-maine-vermont split.
BEL / Belgium,,Elia,https://opendata.elia.be/,belgium,T1a,curtailment-renewable,published,JSON-API,operator-direct / Elia Open Data,Elia 2024 wind+solar generation feed (curtailment via balancing dataset),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Loader uses Elia Open Data (opendata.elia.be) - JSON API with sub-hourly granularity.
BGR / Bulgaria,,ESO (Electricity System Operator),https://www.eso.bg/en,bulgaria,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,ESO public data (no 2023/2024 annual curtailed-energy total found),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Loader uses ENTSO-E A75; placeholder rates pending ESO curtailment publication.
CZE / Czechia,,CEPS,https://www.ceps.cz/en,czech-republic,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,ENTSO-E A77 sample exists in API guide (no extracted annual),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Measured-substitution candidate for A77 - sample appears directly in ENTSO-E Web API guide.
DNK / Denmark (DK1),,Energinet,https://www.energidataservice.dk/,denmark-west,T1a,curtailment-renewable,published,JSON-API,operator-direct / Energi Data Service,Energinet wind+solar generation feed (DK1),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Loader uses Energi Data Service JSON API natively zonal by PriceArea.
DNK / Denmark (DK2),,Energinet,https://www.energidataservice.dk/,denmark-east,T1a,curtailment-renewable,published,JSON-API,operator-direct / Energi Data Service,Energinet wind+solar generation feed (DK2),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Loader uses Energi Data Service JSON API natively zonal by PriceArea.
ESP / Spain,,REE (Red Electrica),https://www.ree.es/en,iberia,T1a,curtailment-renewable,published,JSON-API,doc-cited / REE e-sios,IEA Renewables 2025 official-data VRE chart cites REE I3DIA,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,iberia region covers ES via ENTSO-E; REE 2024 system report gives integration context but no extractable GWh; A77 substitution candidate.
FIN / Finland,,Fingrid,https://www.fingrid.fi/en/,finland,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,Fingrid Annual Review 2024 (no national curtailed-energy total),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Loader uses ENTSO-E A75; Fingrid annual review provides context not GWh; A77 substitution candidate.
FRA / France,,RTE,https://www.rte-france.com/eco2mix,france,T1a,curtailment-renewable,published,JSON-API,doc-cited / RTE eco2mix open data,RTE 2024 Bilan electrique (renewable curtailment summary),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Loader uses ODRE/eco2mix; RTE publishes ENR curtailment in annual Bilan but no extracted GWh in current model.
GBR / Northern Ireland,,SONI,https://www.soni.ltd.uk/,northern-ireland,T1a,curtailment-renewable,published,XLSX-table,operator-direct / EirGrid SONI DD workbook,EirGrid/SONI half-hourly Dispatch Down workbook (NI 42% of all-island),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Loader fetches all-island DD workbook with EirGrid; SONI co-operates SEMO.
HUN / Hungary,,MAVIR,https://www.mavir.hu/,hungary,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,MAVIR public data (no 2023/2024 annual curtailed-energy total found),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Loader uses ENTSO-E A75; placeholder rates pending MAVIR curtailment publication or A77 substitution.
IRL / Ireland (Republic),,EirGrid,https://www.eirgrid.ie/grid/system-and-renewable-data-reports,ireland-republic,T1a,curtailment-renewable,published,XLSX-table,operator-direct / EirGrid SONI DD workbook,EirGrid/SONI half-hourly Dispatch Down workbook (ROI 58% of all-island),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Loader fetches all-island DD workbook (XLSX); split 58/42 via 2024 annual ROI/NI anchor.
ITA / Italy (South),,Terna,https://transparency.entsoe.eu/,italy-south,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,Terna 2024 Annual Report (no per-zone split),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Loader uses ENTSO-E A75 SUD (10Y1001A1001A788); placeholder rates pending Terna per-zone curtailment.
NOR / Norway (NO1 Oslo),,Statnett,https://www.statnett.no/en/,norway-no1,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,NO1 hydro+wind load-centre zone via ENTSO-E A75; low expected curtailment.
NOR / Norway (NO2 Kristiansand),,Statnett,https://www.statnett.no/en/,norway-no2,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,NO2 hydro+offshore wind (NorNed/NordLink/NSL cable zone) via ENTSO-E A75.
NOR / Norway (NO3 Trondheim),,Statnett,https://www.statnett.no/en/,norway-no3,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,NO3 hydro+onshore wind via ENTSO-E A75.
NOR / Norway (NO4 Tromso),,Statnett,https://www.statnett.no/en/,norway-no4,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,NO4 export-constrained northern hydro+wind via ENTSO-E A75 (former n-norway).
NOR / Norway (NO5 Bergen),,Statnett,https://www.statnett.no/en/,norway-no5,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,NO5 reservoir hydro spring-spill only via ENTSO-E A75.
PRT / Portugal,,REN (Redes Energeticas Nacionais),https://www.ren.pt/en-gb/,portugal,T1a,curtailment-renewable,documented-gap,JSON-API,doc-cited / ENTSO-E A75,REN 2024 grid-connected solar news (no annual curtailed-energy total found),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Loader uses ENTSO-E A75; placeholder rates pending REN curtailment extraction or A77 substitution.
ROU / Romania,,Transelectrica,https://www.transelectrica.ro/en/web/tel/home,romania,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,Transelectrica 2024 Annual Report (no curtailed-energy GWh extracted),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Loader uses ENTSO-E A75; placeholder rates pending Transelectrica/ANRE extraction.
SWE / Sweden (SE1+SE2 north),,Svenska kraftnat,https://www.svk.se/en/,sweden-north,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Loader uses ENTSO-E A75 for SE1 (10Y1001A1001A44P) + SE2 (10Y1001A1001A45N); placeholder rates pending Svk curtailment.
SWE / Sweden (SE3+SE4 south),,Svenska kraftnat,https://www.svk.se/en/,sweden-south,T1a,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,none,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Loader uses ENTSO-E A75 for SE3 (10Y1001A1001A46L) + SE4 (10Y1001A1001A47J); placeholder rates pending Svk curtailment.
USA,Pacific Northwest,Bonneville Power Administration,https://www.bpa.gov/,bpa,T1a,curtailment-renewable,published,JSON-API,known-public-API,BPA 2024 (EIA BPAT proxy; hydro spill not separately published),0.0,leave-existing-T1+,not-applicable,Pattern-A,0.0000,Hydro spill not in single TSO TWh figure; loader uses EIA fuel-type proxy.
EST / Estonia,,Elering,https://elering.ee/en,baltics,T1b,curtailment-renewable,documented-gap,JSON-API,operator-direct / Elering Live API,Litgrid Lithuania-share extrapolation (no Estonia-specific curtailment),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Covered by 'baltics' region (Litgrid extrapolation); Elering also publishes own JSON API at dashboard.elering.ee.
ITA / Italy (North),,Terna,https://www.terna.it/en/electric-system/transparency-report,italy-north-zone,T1b,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,Terna 2024 Annual Report (national MSD only; no per-zone split published),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,T1b due to national-MSD-share modelled scope mismatch; covers IT bidding zone NORD per ENTSO-E EIC 10Y1001A1001A73I.
ITA / Italy (Sardinia),,Terna,https://transparency.entsoe.eu/,italy-sardinia,T1b,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,Terna 2024 Annual Report (no Sardinia-specific anchor),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,T1b due to national-MSD-share scaled to Sardinia generation share; SARD zone 10Y1001A1001A74G.
LTU / Lithuania,,Litgrid,https://www.litgrid.eu/,baltics,T1b,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,Litgrid public data (no 2023/2024 annual curtailed-energy total found),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Anchor zone for 'baltics' region; Litgrid extrapolation applied across LT/LV/EE.
LVA / Latvia,,AST (Augstsprieguma tikls),https://www.ast.lv/en,baltics,T1b,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,Litgrid Lithuania-share extrapolation (no Latvia-specific curtailment),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Covered by 'baltics' region (Litgrid extrapolation); AST publishes via ENTSO-E A75.
CHE / Switzerland,,Swissgrid,https://www.swissgrid.ch/en/home/operation/grid-data.html,switzerland,T1c,curtailment-renewable,published,XML-feed,doc-cited / ENTSO-E A75,Czech CEPS rate extrapolated (no domestic Swiss curtailment published),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,T1c neighbour-anchored; PV-only feed via Swissgrid; hydro spill not in A75.
BGD / Bangladesh,National,PGCB (Power Grid Company of Bangladesh),https://pgcb.gov.bd/,bangladesh,T2,curtailment-renewable,published,unreachable,TLS-cert-error,NREL 2024 modelling note: 15-20% solar curtailment in north Bangladesh,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Cert verification fails; system operator role; SREDA publishes RE statistics separately
BGD / Bangladesh,National,SREDA (Sustainable Renewable Energy Development Authority),https://ndre.sreda.gov.bd/,bangladesh,T2,curtailment-renewable,published,parseable-HTML-table,timeout,SREDA NDRE renewable energy portal,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Renewable capacity tracker; complements PGCB; rolls into bangladesh region
Canada,British Columbia,BC Hydro / BCTC,https://www.bchydro.com/,british-columbia,T2,curtailment-renewable,documented-gap,PDF-only,known-public-PDF,BC Hydro 2024 Annual Service Plan Report (curtailment minimal),0.0,leave-existing-T1+,not-applicable,Pattern-A,0.0000,Hydro baseload reservoirs absorb intermittent surplus; no published curtailment TWh.
Canada,Quebec,Hydro-Québec,https://www.hydroquebec.com/,quebec,T2,curtailment-renewable,documented-gap,PDF-only,known-public-PDF,Hydro-Québec 2024 Annual Report (curtailment low),0.0,leave-existing-T1+,not-applicable,Pattern-A,0.0000,HQ-CMÉ system operator; reservoir-buffered; no per-zone curtailment TWh figure.
Canada,Manitoba,Manitoba Hydro,https://www.hydro.mb.ca/,manitoba,T2,curtailment-renewable,documented-gap,PDF-only,known-public-PDF,Manitoba Hydro 2024 Annual Report,0.0,leave-existing-T1+,not-applicable,Pattern-A,0.0000,Hydro baseload; no published curtailment TWh.
IND / India,North-Eastern Region,NERLDC (North-Eastern Regional Load Despatch Centre),https://nerldc.in/,,T2,curtailment-renewable,documented-gap,unreachable,ECONNREFUSED,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Covers Assam/Meghalaya/Tripura/Manipur/Nagaland/Mizoram/AP; minimal RE penetration; not modelled separately in regions.ts
IND / India,Andhra Pradesh,APSLDC (Andhra Pradesh SLDC),https://apsldc.in/,india-south,T2,curtailment-renewable,documented-gap,unreachable,ECONNREFUSED,none,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Site unreachable from probe; AP has wind+solar but limited public RE data; rolls into india-south
IND / India,Telangana,TSLDC (Telangana State Load Despatch Centre),https://tssldc.com/,india-south,T2,curtailment-renewable,documented-gap,no-public-data,200,none,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Domain returns Chinese-language squat content; TSLDC operational data not publicly indexed; rolls into india-south
IND / India,Madhya Pradesh,MPSLDC (Madhya Pradesh SLDC),https://www.mpsldc.com/,india-west,T2,curtailment-renewable,documented-gap,unreachable,ECONNREFUSED,none,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Site unreachable; MP straddles WRLDC/NRLDC; rolls into india-west
IND / India,All-India,CEA (Central Electricity Authority),https://cea.nic.in/,,T2,curtailment-renewable,published,PDF-only,TLS-cert-error,CEA monthly Renewable Energy Generation Report (PDF),0.0,introduce-as-T3,T3,not-applicable,0.0000,CEA publishes monthly RE generation PDFs; cert error from probe; useful as cross-check anchor not as live feed
ISL,,Landsnet,https://www.landsnet.is/,iceland,T2,curtailment-renewable,documented-gap,no-public-data,not-probed,"Orkustofnun 2024 annual curtailment ~0 TWh (load-following hydro+geothermal, reservoir-buffered)",0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Existing T2 region. Landsnet publishes generation aggregates but no hourly curtailment archive; structural near-zero anchor.
Iraq,,Ministry of Electricity (MoELC),https://moelc.gov.iq/,iraq-mainland,T2,curtailment-renewable,documented-gap,PDF-only,annual reports as PDF; no API; site often unreachable,IEA Iraq Energy Outlook 2024,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,MoELC operates national grid ex-KRG. Chronic deficit so curtailment marginal. Existing T2 'iraq-mainland'.
Iraq,Kurdistan,KRG Ministry of Electricity,https://gov.krd/moel-en/,kurdistan,T2,curtailment-renewable,documented-gap,parseable-HTML-table,KRG MoE site has English news/stats pages; no live SCADA,IEA Iraq Energy Outlook 2024 (KRG section),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,KRG separate dispatch (Erbil/Sulaymaniyah/Duhok). Existing T2 'kurdistan'. Solar pilots only.
PAK / Pakistan,National,NEPRA (regulator),https://nepra.org.pk/,pakistan,T2,curtailment-renewable,published,PDF-only,403,NEPRA State of Industry Report 2024 (PDF),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,403 from probe; SOI Reports cover annual curtailment qualitatively; existing pakistan region uses NEPRA fallback
RUS,European zone (UES Centre+NW+South+Volga+Urals),System Operator of the Unified Energy System (SO UPS) - European,https://www.so-ups.ru/,russia-mainland,T2,curtailment-renewable,documented-gap,JS-rendered-SPA,not-probed,SO UPS no public data post-2022; structural gap (regions.ts russia-mainland),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Existing T2 russia-mainland region. SO UPS site partially geo-restricts and removed many transparency feeds post-2022.
United Arab Emirates,Northern Emirates,Federal Electricity & Water Authority (FEWA),https://www.fewa.gov.ae/,uae,T2,none-expected,documented-gap,no-public-data,FEWA serves Northern Emirates; minimal renewable share,none,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,FEWA covers Sharjah-rural/Ajman/RAK/Fujairah/UAQ. Cross-ref existing T2 'uae'.
AUT / Austria,,APG (Austrian Power Grid),https://www.apg.at/,austria,T3,curtailment-renewable,documented-gap,XML-feed,doc-cited / ENTSO-E A75,APG Strombilanz 2024 (provisional anchor; no extracted curtailed-energy total),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Currently static T3 with provisional anchor; A77 substitution candidate when ENTSO-E pass is wired.
CYP / Cyprus,,Cyprus TSO (TSOC),https://tsoc.org.cy/,cyprus,T3,curtailment-renewable,documented-gap,parseable-HTML-table,doc-cited / TSOC fallback,TSOC dashboard fallback (no extracted curtailed-energy total),0.0,leave-existing-T1+,not-applicable,not-applicable,0.0000,Currently static T3 (solar profile); TSOC publishes daily generation HTML; ENTSO-E coverage limited (island system).
AFG / Afghanistan,National,DABS (Da Afghanistan Breshna Sherikat),https://main.dabs.af/,,not-modelled,none-expected,documented-gap,no-public-data,200-redirect,none,0.0,leave-not-modelled,not-applicable,not-applicable,0.0000,Reachable but minimal content; large fraction imported (UZB/TJK/IRN); no dispatch transparency
ALB,,Operatori i Sistemit te Transmetimit (OST),https://www.ost.al/,,not-modelled,curtailment-renewable,unknown,JS-rendered-SPA,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Albania ENTSO-E member since 2017 but very low VRE share (hydro-dominant); no public hourly curtailment archive identified.
ATG / Antigua & Barbuda,,APUA (Antigua Public Utilities Authority),https://www.apua.ag/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,unprobed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,Small island utility; diesel-dominant. No public dispatch data.
American Samoa,US Territory,American Samoa Power Authority (ASPA),https://www.aspower.com/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,not-probed,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,US territory; cross-ref to North-America task; Tutuila+Manua isolated grids ~0.18 TWh.
